ChannelPartnerID,Region
10000,North
10001,South
10002,West
10003,South
10004,East
10005,West
10006,West
10007,South
10008,East
10009,North
10010,South
10011,East
10012,East
10013,South
10014,West
10015,West
10016,North
10017,East
10018,South
10019,South
10020,South
10021,East
10022,South
10023,North
10024,North
10025,West
10026,South
10027,West
10028,East
10029,North
10030,East
10031,South
10032,North
10033,North
10034,West
10035,North
10036,South
10037,South
10038,South
10039,North
10040,South
10041,South
10042,North
10043,South
10044,South
10045,North
10046,East
10047,East
10048,South
10049,North
10050,North
10051,East
10052,East
10053,North
10054,East
10055,South
10056,East
10057,South
10058,West
10059,West
10060,North
10061,East
10062,North
10063,South
10064,West
10065,North
10066,West
10067,South
10068,West
10069,South
10070,East
10071,North
10072,West
10073,North
10074,South
10075,East
10076,West
10077,South
10078,West
10079,East
10080,South
10081,East
10082,East
10083,North
10084,North
10085,South
10086,South
10087,East
10088,East
10089,South
10090,South
10091,North
10092,West
10093,West
10094,South
10095,North
10096,North
10097,East
10098,East
10099,East
10100,West
10101,East
10102,North
10103,East
10104,South
10105,North
10106,East
10107,North
10108,East
10109,North
10110,East
10111,West
10112,North
10113,South
10114,East
10115,South
10116,North
10117,West
10118,West
10119,West
10120,North
10121,South
10122,North
10123,South
10124,East
10125,South
10126,East
10127,South
10128,North
10129,East
10130,East
10131,South
10132,West
10133,North
10134,West
10135,West
10136,South
10137,North
10138,North
10139,East
10140,West
10141,South
10142,North
10143,South
10144,East
10145,North
10146,East
10147,East
10148,East
10149,West
10150,West
10151,West
10152,East
10153,West
10154,North
10155,South
10156,East
10157,South
10158,West
10159,East
10160,North
10161,South
10162,North
10163,West
10164,West
10165,South
10166,South
10167,East
10168,East
10169,North
10170,North
10171,North
10172,North
10173,North
10174,West
10175,South
10176,East
10177,North
10178,East
10179,North
10180,South
10181,South
10182,South
10183,West
10184,North
10185,East
10186,West
10187,East
10188,South
10189,North
10190,West
10191,South
10192,South
10193,West
10194,West
10195,West
10196,South
10197,West
10198,South
10199,North
10200,South
10201,East
10202,South
10203,West
10204,East
10205,North
10206,South
10207,East
10208,West
10209,North
10210,East
10211,West
10212,West
10213,East
10214,East
10215,North
10216,West
10217,North
10218,North
10219,North
10220,West
10221,South
10222,East
10223,South
10224,South
10225,West
10226,South
10227,West
10228,West
10229,South
10230,North
10231,North
10232,East
10233,West
10234,West
10235,West
10236,East
10237,East
10238,South
10239,East
10240,South
10241,West
10242,North
10243,West
10244,East
10245,East
10246,North
10247,South
10248,West
10249,West
10250,South
10251,South
10252,South
10253,West
10254,East
10255,West
10256,West
10257,East
10258,East
10259,South
10260,South
10261,West
10262,West
10263,South
10264,East
10265,South
10266,East
10267,North
10268,North
10269,West
10270,East
10271,North
10272,West
10273,South
10274,East
10275,West
10276,North
10277,North
10278,West
10279,East
10280,North
10281,North
10282,East
10283,West
10284,South
10285,North
10286,West
10287,North
10288,East
10289,North
10290,East
10291,South
10292,West
10293,South
10294,West
10295,East
10296,South
10297,East
10298,South
10299,North
10300,West
10301,South
10302,North
10303,East
10304,South
10305,North
10306,South
10307,South
10308,West
10309,North
10310,West
10311,West
10312,East
10313,West
10314,East
10315,West
10316,East
10317,West
10318,North
10319,West
10320,West
10321,South
10322,West
10323,South
10324,West
10325,West
10326,East
10327,South
10328,West
10329,South
10330,East
10331,North
10332,South
10333,South
10334,West
10335,East
10336,North
10337,West
10338,South
10339,South
10340,South
10341,West
10342,East
10343,West
10344,West
10345,West
10346,South
10347,South
10348,North
10349,West
10350,North
10351,East
10352,West
10353,South
10354,North
10355,West
10356,West
10357,South
10358,North
10359,South
10360,North
10361,East
10362,South
10363,South
10364,South
10365,North
10366,West
10367,West
10368,North
10369,West
10370,North
10371,West
10372,South
10373,North
10374,East
10375,East
10376,West
10377,North
10378,South
10379,North
10380,East
10381,East
10382,North
10383,West
10384,West
10385,West
10386,North
10387,South
10388,South
10389,West
10390,South
10391,East
10392,West
10393,North
10394,East
10395,South
10396,East
10397,East
10398,East
10399,East
10400,South
10401,East
10402,South
10403,East
10404,West
10405,West
10406,South
10407,East
10408,North
10409,West
10410,North
10411,East
10412,West
10413,East
10414,East
10415,West
10416,South
10417,East
10418,West
10419,East
10420,East
10421,West
10422,East
10423,South
10424,West
10425,South
10426,South
10427,East
10428,West
10429,West
10430,East
10431,South
10432,West
10433,North
10434,West
10435,East
10436,East
10437,South
10438,East
10439,South
10440,North
10441,East
10442,East
10443,East
10444,South
10445,East
10446,West
10447,North
10448,North
10449,North
10450,East
10451,South
10452,North
10453,North
10454,South
10455,South
10456,North
10457,West
10458,North
10459,South
10460,North
10461,South
10462,North
10463,North
10464,South
10465,East
10466,North
10467,North
10468,North
10469,North
10470,North
10471,North
10472,North
10473,North
10474,North
10475,South
10476,North
10477,South
10478,East
10479,North
10480,East
10481,South
10482,North
10483,South
10484,West
10485,North
10486,South
10487,East
10488,North
10489,North
10490,West
10491,North
10492,North
10493,North
10494,North
10495,East
10496,North
10497,West
10498,East
10499,West
10500,South
10501,North
10502,South
10503,South
10504,North
10505,West
10506,South
10507,West
10508,South
10509,East
10510,South
10511,North
10512,West
10513,West
10514,South
10515,South
10516,East
10517,North
10518,West
10519,West
10520,North
10521,South
10522,North
10523,East
10524,West
10525,West
10526,South
10527,East
10528,East
10529,South
10530,West
10531,South
10532,South
10533,East
10534,South
10535,West
10536,East
10537,West
10538,South
10539,North
10540,South
10541,South
10542,South
10543,East
10544,South
10545,West
10546,South
10547,North
10548,North
10549,North
10550,South
10551,East
10552,East
10553,West
10554,East
10555,East
10556,East
10557,West
10558,South
10559,East
10560,West
10561,East
10562,East
10563,West
10564,South
10565,North
10566,East
10567,East
